px_0,px_1,px_2,px_3,px_4,px_5,px_6,px_7,px_8,px_9,px_10,px_11,px_12,px_13,px_14,px_15,px_16,px_17,px_18,px_19,px_20,px_21,px_22,px_23,px_24,px_25,px_26,px_27,px_28,px_29,px_30,px_31,px_32,px_33,px_34,px_35,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_8,mask_9,mask_10,mask_11,mask_12,mask_13,mask_14,mask_15,mask_16,mask_17,mask_18,mask_19,mask_20,mask_21,mask_22,mask_23,mask_24,mask_25,mask_26,mask_27,mask_28,mask_29,mask_30,mask_31,mask_32,mask_33,mask_34,mask_35,posture_meta
0.937,0.0,0.0,0.929,0.88,0.0,0.826,0.894,0.669,0.493,0.875,0.758,0.263,0.471,0.73,0.819,0.95,0.43,0.2,0.668,0.711,0.768,0.918,0.0,1.112,0.785,0.877,0.75,1.07,0.774,0.83,0.426,0.905,1.048,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.811,0.785,0.739,0.7,0.0,0.0,0.0,0.794,0.962,0.9,0.578,0.0,0.592,0.0,0.611,0.863,0.529,1.237,0.754,0.923,2.0,1.074,0.803,0.915,0.468,0.959,1.262,0.994,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
1.091,0.657,0.122,0.556,0.305,0.0,2.348,1.154,0.948,0.004,0.375,0.0,0.289,1.0,1.127,0.81,0.1,0.0,0.508,0.985,1.0,0.811,0.044,0.706,1.325,0.846,1.046,0.0,0.0,0.0,1.099,0.851,0.926,1.0,0.402,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.944,0.0,0.0,0.394,0.305,0.0,1.0,1.004,0.95,0.0,0.275,0.0,0.237,0.971,1.127,0.781,0.1,0.0,0.862,1.069,1.086,0.8,0.055,0.0,1.587,0.938,1.046,0.0,0.0,0.0,0.993,1.149,1.061,0.0,0.409,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.93,0.0,0.0,1.061,0.91,0.0,1.13,0.978,0.97,0.68,1.025,0.825,1.132,1.088,1.048,1.095,1.112,0.922,0.692,0.625,0.68,0.884,0.907,0.0,0.663,0.677,1.077,4.25,0.992,0.745,0.0,0.0,0.919,1.0,0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.993,0.0,0.0,1.02,0.92,0.0,1.13,0.934,0.771,0.493,1.125,0.833,0.474,0.735,0.873,0.895,1.075,0.586,0.446,0.695,0.812,0.905,0.973,0.0,1.225,0.892,1.0,3.0,1.103,0.839,0.908,0.596,0.966,1.238,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.727,0.779,0.751,0.9,0.083,0.053,0.265,0.952,1.057,1.025,0.656,0.508,0.631,0.0,0.716,0.852,1.059,1.337,0.892,0.831,4.25,1.107,0.869,0.965,0.66,1.02,1.452,1.018,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.885,0.873,0.781,0.925,0.15,0.0,0.147,0.952,1.048,1.025,0.656,0.0,0.644,0.0,0.758,0.956,1.235,1.337,0.877,1.046,4.25,1.111,0.883,0.993,0.681,1.027,1.524,1.027,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
0.93,0.0,0.0,1.071,0.88,0.0,1.13,0.982,0.972,0.673,1.05,0.767,1.132,1.059,1.048,1.095,1.125,0.922,0.692,0.622,0.687,0.895,0.912,0.0,0.663,0.677,1.077,4.5,0.996,0.752,0.0,0.0,0.878,0.0,0.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.944,0.66,0.0,0.939,0.865,0.0,0.783,0.894,0.011,0.517,0.875,0.783,0.474,0.706,0.873,0.895,1.062,0.359,0.0,0.707,0.812,0.863,0.945,0.0,1.2,0.877,0.0,2.5,1.103,0.847,0.915,0.574,0.959,1.143,0.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.834,0.486,0.875,0.767,0.263,0.5,0.73,0.829,0.962,0.328,0.0,0.674,0.711,0.768,0.879,0.0,1.125,0.769,0.892,0.75,1.07,0.781,0.837,0.426,0.912,1.048,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
