s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.909,0.0,0.0,1.03,0.825,0.0,1.087,0.978,0.785,0.669,1.025,0.558,1.132,1.059,1.048,1.076,1.125,0.891,0.0,0.556,0.664,0.8,0.885,0.0,0.488,0.662,0.585,3.5,0.947,0.657,0.0,0.0,0.824,0.0,0.348,0.0,right
0.86,0.0,0.0,0.97,0.81,0.0,0.739,0.943,0.84,0.656,0.825,0.483,0.921,0.824,0.905,0.99,1.013,0.828,0.2,0.544,0.602,0.716,0.841,0.0,0.0,0.523,0.908,1.5,0.918,0.613,0.0,0.0,0.777,0.81,0.21,0.0,right
0.916,0.0,0.0,1.051,0.845,0.0,1.087,0.978,0.804,0.664,1.025,0.533,1.132,1.059,1.032,1.067,1.112,0.891,0.0,0.571,0.664,0.8,0.89,0.0,0.412,0.646,1.046,3.5,0.955,0.672,0.0,0.0,0.818,0.0,0.284,0.0,right
0.916,0.0,0.0,1.071,0.89,0.0,1.087,0.978,0.948,0.673,1.025,0.475,1.132,1.059,1.032,1.076,1.125,0.898,0.0,0.574,0.664,0.811,0.89,0.0,0.538,0.662,1.077,3.75,0.942,0.672,0.0,0.0,0.824,0.048,0.274,0.0,right
0.867,0.0,0.0,0.99,0.815,0.0,0.739,0.943,0.925,0.713,0.825,0.45,0.921,0.824,0.905,1.0,1.025,0.844,0.385,0.559,0.617,0.747,0.852,0.0,0.488,0.538,0.938,1.75,0.938,0.635,0.0,0.0,0.811,0.905,0.165,0.0,right
0.916,0.0,0.0,1.04,0.87,0.0,1.087,0.978,0.785,0.746,1.025,0.575,1.132,1.059,1.032,1.076,1.112,0.898,0.415,0.58,0.68,0.832,0.896,0.0,0.575,0.646,1.031,4.0,0.975,0.701,0.0,0.0,0.851,0.524,0.186,0.0,right
0.923,0.0,0.0,1.061,0.87,0.0,1.087,0.978,0.834,0.7,1.025,0.617,1.105,1.059,1.032,1.076,1.112,0.906,0.492,0.61,0.68,0.842,0.896,0.0,0.587,0.662,1.062,4.0,0.979,0.708,0.0,0.0,0.872,0.0,0.36,0.0,right
0.923,0.0,0.0,1.051,0.9,0.0,1.087,0.978,0.89,0.646,1.025,0.55,1.132,1.059,1.048,1.076,1.125,0.906,0.646,0.625,0.687,0.842,0.896,0.0,0.6,0.662,1.062,4.0,0.979,0.708,0.0,0.0,0.878,0.786,0.363,0.0,right
0.923,0.0,0.0,1.051,0.89,0.0,1.13,0.982,0.909,0.653,1.025,0.675,1.132,1.059,1.032,1.086,1.112,0.906,0.646,0.601,0.687,0.842,0.896,0.0,0.587,0.662,1.062,4.0,0.979,0.715,0.0,0.0,0.818,0.929,0.323,0.0,right
0.93,0.0,0.0,1.051,0.895,0.0,1.174,0.982,0.945,0.656,1.025,0.667,1.105,1.059,1.048,1.086,1.125,0.906,0.662,0.61,0.695,0.853,0.901,0.0,0.6,0.662,1.077,4.0,0.979,0.708,0.0,0.0,0.885,0.786,0.405,0.0,right
