s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
1.07,0.013,0.0,0.343,0.29,1.333,1.957,1.044,0.959,0.0,0.275,0.0,0.079,0.882,1.079,0.705,0.038,0.0,0.338,0.967,0.945,0.747,0.044,0.0,1.6,1.308,1.492,2.25,0.0,0.102,0.83,0.468,0.845,0.81,0.393,0.0,front
0.867,0.0,0.0,0.242,0.28,0.0,0.391,1.013,1.0,0.0,0.35,0.0,0.211,1.088,1.175,0.771,0.1,0.0,0.415,0.991,1.023,0.747,0.044,0.0,1.337,0.892,1.108,0.0,0.0,0.0,1.078,1.298,1.02,0.0,0.375,0.0,front
1.091,0.0,0.0,0.222,0.285,0.0,0.739,1.004,0.997,0.0,0.325,0.0,0.974,2.059,1.698,1.057,0.475,0.055,0.385,0.985,1.008,0.747,0.027,0.0,1.312,0.862,0.954,0.0,0.0,0.0,0.851,0.574,0.878,0.0,0.372,0.0,front
1.091,0.502,0.0,0.253,0.28,0.0,0.261,1.0,0.994,0.0,0.3,0.0,1.0,2.0,1.397,0.781,0.075,0.0,0.369,0.982,1.0,0.747,0.033,0.0,1.312,0.846,0.831,0.0,0.0,0.0,0.851,0.553,0.878,0.0,0.375,0.0,front
1.077,0.544,0.0,0.242,0.28,0.0,0.478,1.15,1.058,0.001,0.325,0.0,0.158,1.0,1.127,0.743,0.075,0.0,0.4,1.018,1.219,1.084,0.17,1.353,1.3,0.846,1.015,0.0,0.0,0.0,0.844,0.532,0.919,0.0,0.436,0.0,front
1.084,0.598,0.0,0.273,0.28,0.0,0.826,0.996,0.992,0.0,0.275,0.0,0.158,0.971,1.127,0.752,0.075,0.0,0.385,0.982,1.0,0.747,0.027,0.0,1.3,0.831,0.969,0.0,0.0,0.0,0.851,0.362,1.014,0.024,0.418,0.0,front
1.091,0.55,0.0,0.303,0.285,0.0,2.304,1.048,0.997,0.0,0.3,0.0,0.184,0.971,1.127,0.762,0.087,0.0,0.446,0.985,1.0,0.768,0.033,0.0,1.312,0.862,1.031,0.0,0.0,0.0,0.851,0.532,0.919,0.0,0.448,0.008,front
0.832,0.0,0.0,0.202,0.215,0.0,0.391,1.009,0.961,0.0,0.3,0.0,0.053,0.853,1.079,0.714,0.038,0.0,0.323,0.97,1.062,1.021,0.121,0.0,1.225,0.8,0.969,0.0,0.0,0.0,0.83,0.468,0.838,0.738,0.341,0.0,front
0.853,0.585,0.0,0.242,0.275,0.0,0.87,0.996,0.992,0.0,0.3,0.0,0.132,0.971,1.111,0.752,0.075,0.0,0.385,0.979,0.992,0.747,0.027,0.0,1.288,0.831,0.985,0.0,0.0,0.0,0.851,0.511,0.872,0.952,0.378,0.0,front
0.853,0.528,0.0,0.263,0.275,0.0,0.826,1.0,0.992,0.0,0.3,0.0,0.184,1.0,1.127,0.762,0.087,0.0,0.385,0.979,0.992,0.758,0.033,0.0,1.425,1.231,1.462,0.0,0.0,0.0,0.851,0.532,0.872,0.976,0.381,0.0,front
1.098,0.597,0.0,0.313,0.285,0.0,2.304,1.031,0.992,0.0,0.325,0.0,0.184,1.0,1.127,0.762,0.087,0.0,0.415,0.979,1.0,0.758,0.033,0.0,1.312,0.862,1.0,0.0,0.0,0.0,1.092,1.255,1.095,0.857,0.424,0.0,front
1.091,0.606,0.0,0.364,0.29,0.0,2.304,1.145,1.03,0.0,0.3,0.0,0.184,1.0,1.127,0.762,0.087,0.0,0.415,0.982,1.0,0.758,0.033,0.0,1.687,1.123,1.031,0.0,0.0,0.0,1.057,1.106,0.946,0.595,0.384,0.0,front
0.86,0.591,0.0,0.283,0.285,0.0,0.0,1.0,0.989,0.0,0.3,0.0,0.0,0.765,1.0,0.695,0.0,0.0,0.308,0.958,0.937,0.684,0.0,0.0,1.212,0.723,0.892,0.0,0.0,0.0,0.801,0.362,0.824,0.024,0.369,0.0,front
0.86,0.593,0.0,0.313,0.285,0.0,0.0,1.004,0.989,0.0,0.3,0.0,0.737,1.971,1.698,1.086,0.488,0.07,0.446,0.982,1.0,0.768,0.033,0.0,1.312,0.846,0.892,1.0,0.0,0.0,1.057,1.234,1.108,1.143,0.466,0.0,front
0.86,0.595,0.0,0.313,0.285,0.0,0.0,1.0,0.989,0.0,0.3,0.0,0.316,1.559,1.619,1.076,0.488,0.062,0.431,0.982,1.0,0.758,0.033,0.0,1.487,0.908,1.046,0.0,0.0,0.058,0.901,0.574,0.878,0.929,0.384,0.0,front
1.084,0.638,0.0,0.343,0.285,0.0,1.087,1.132,1.041,0.0,0.3,0.0,1.026,1.971,1.492,0.8,0.175,0.0,0.677,0.991,1.031,0.947,0.148,1.059,1.3,0.831,1.015,0.0,0.0,0.0,0.844,0.511,0.872,0.738,0.384,0.0,front
0.86,0.612,0.0,0.323,0.29,0.0,0.696,1.0,0.994,0.0,0.3,0.0,0.184,1.029,1.286,1.019,0.463,0.062,0.431,0.982,0.992,0.758,0.033,0.0,1.312,0.846,1.015,0.0,0.0,0.0,0.865,0.553,0.885,0.024,0.387,0.0,front
0.853,0.617,0.0,0.323,0.29,0.0,0.609,1.0,0.994,0.0,0.775,0.0,0.211,1.029,1.143,0.771,0.112,0.0,0.462,0.982,1.031,0.968,0.154,1.059,1.325,0.846,1.031,0.0,0.0,0.0,0.851,0.532,0.878,0.0,0.381,0.0,front
1.091,0.677,0.0,0.303,0.29,0.0,2.217,1.15,1.08,0.0,1.15,0.0,0.974,1.971,1.683,1.067,0.475,0.062,0.908,1.082,1.258,1.095,0.165,1.059,1.312,0.846,1.031,0.0,0.0,0.0,0.851,0.553,0.885,0.0,0.384,0.0,front
0.846,0.617,0.0,0.061,0.29,0.0,0.652,1.0,0.809,0.0,0.3,0.0,0.184,1.0,1.143,0.771,0.1,0.0,0.923,1.088,0.797,1.105,0.17,0.176,1.312,0.846,1.031,0.0,0.0,0.0,0.851,0.532,0.878,0.0,0.381,0.0,front
