s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.0,0.0,0.0,0.737,0.0,0.0,0.0,0.749,0.735,0.686,0.675,0.0,0.0,0.0,0.794,0.933,0.887,0.539,0.0,0.577,0.0,0.568,0.852,0.529,1.237,0.769,0.954,2.0,1.078,0.796,0.922,0.468,0.959,1.262,0.991,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.802,0.92,0.74,0.9,0.0,0.0,0.059,0.921,1.019,0.988,0.617,0.0,0.589,0.0,0.653,0.896,0.941,1.325,0.877,1.077,4.0,1.103,0.825,0.979,0.66,1.02,1.429,1.006,0.0,left
0.0,0.0,0.0,0.859,0.0,0.0,0.0,0.85,0.912,0.729,0.875,0.0,0.0,0.088,0.921,1.029,1.0,0.672,0.0,0.625,0.0,0.916,0.951,1.294,1.325,0.877,1.062,3.75,1.103,0.847,0.972,0.66,1.014,1.548,1.079,0.001,left
0.0,0.0,0.0,0.859,0.0,0.0,0.0,0.815,0.917,0.737,0.875,0.0,0.0,0.088,0.921,1.029,1.0,0.625,0.0,0.619,0.0,0.726,0.918,1.0,1.325,0.877,1.169,5.75,1.115,0.854,0.972,0.66,1.014,1.429,1.012,0.0,left
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.859,0.826,0.739,0.875,0.0,0.0,0.088,0.921,1.038,1.0,0.625,0.0,0.616,0.0,0.716,0.907,1.0,1.325,0.862,1.092,4.0,1.103,0.854,0.972,0.66,1.014,1.429,1.012,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.859,0.796,0.736,0.875,0.0,0.0,0.088,0.921,1.029,1.0,0.625,0.369,0.619,0.0,0.674,0.901,1.0,1.325,0.877,1.077,4.0,1.107,0.854,0.972,0.638,1.014,1.429,1.012,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.868,0.826,0.749,0.925,0.017,0.0,0.088,0.921,1.029,0.988,0.625,0.0,0.619,0.0,0.684,0.907,0.941,1.325,0.877,1.077,4.0,1.103,0.854,0.972,0.638,1.014,1.429,1.012,0.0,left
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.859,0.859,0.744,0.9,0.025,0.0,0.118,0.937,1.048,1.025,0.625,0.0,0.647,0.0,0.695,0.912,1.0,1.325,0.877,1.092,4.0,1.103,0.854,1.0,1.043,1.216,1.857,1.024,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.837,0.82,0.743,0.875,0.033,0.0,0.118,0.921,1.029,1.0,0.625,0.0,0.619,0.0,0.684,0.907,0.941,1.612,1.246,1.185,4.25,1.107,0.869,0.972,0.66,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.793,0.804,0.744,0.9,0.033,0.316,0.353,0.952,1.038,1.013,0.633,0.2,0.622,0.0,0.684,0.907,0.941,1.325,0.892,1.092,4.0,1.123,0.985,0.972,0.681,1.02,1.452,1.034,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.819,0.82,0.741,0.875,0.042,0.0,0.088,0.921,1.029,1.0,0.625,0.4,0.619,0.0,0.684,0.907,0.941,1.325,0.877,1.077,4.0,1.103,0.861,0.972,0.66,1.014,1.429,1.015,0.0,left
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.863,0.776,0.749,0.9,0.05,0.0,0.088,0.921,1.029,1.0,0.633,0.431,0.607,0.0,0.684,0.907,0.941,1.325,0.877,1.077,4.0,1.103,0.854,0.993,0.66,1.02,1.452,1.015,0.0,left
0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.859,0.74,0.749,0.875,0.05,0.0,0.118,0.921,1.038,1.0,0.633,0.354,0.607,0.0,0.684,0.907,0.941,1.325,0.877,1.077,6.5,1.206,0.978,0.979,0.66,1.02,1.524,1.027,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.811,0.785,0.739,0.7,0.0,0.0,0.0,0.794,0.962,0.9,0.578,0.0,0.592,0.0,0.611,0.863,0.529,1.237,0.754,0.923,2.0,1.074,0.803,0.915,0.468,0.959,1.262,0.994,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.802,0.638,0.733,0.675,0.0,0.0,0.0,0.794,0.962,0.9,0.578,0.0,0.595,0.0,0.621,0.863,0.529,1.237,0.754,0.923,2.0,1.074,0.81,0.915,0.468,0.966,1.262,0.991,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.855,0.729,0.743,0.925,0.067,0.0,0.176,0.937,1.048,1.013,0.641,0.0,0.619,0.0,0.705,0.912,1.0,1.362,0.908,1.062,4.25,1.107,0.869,0.965,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.859,0.0,0.0,0.0,0.736,0.854,0.749,0.9,0.05,0.0,0.118,0.937,1.038,1.0,0.633,0.185,0.604,0.0,0.705,0.896,1.0,1.337,0.877,1.077,4.25,1.107,0.854,0.972,0.638,1.02,1.429,1.015,0.0,left
0.0,0.0,0.0,0.848,0.0,0.0,0.0,0.537,0.834,0.75,0.95,0.067,0.0,0.147,0.952,1.048,1.025,0.641,0.431,0.61,0.0,0.716,0.901,1.0,1.325,0.877,1.077,4.25,1.107,0.861,0.979,0.638,1.02,1.452,1.015,0.0,left
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.841,0.826,0.751,0.75,0.008,0.0,0.0,0.81,0.962,0.9,0.578,0.277,0.598,0.0,0.621,0.857,0.529,1.237,0.769,0.938,2.0,1.074,0.803,0.922,0.468,0.959,1.262,0.994,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.568,0.856,0.743,0.7,0.0,0.0,0.0,0.81,0.971,0.913,0.586,0.323,0.601,0.0,0.621,0.857,0.529,1.237,0.769,0.923,2.25,1.074,0.81,0.915,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.621,0.873,0.75,0.9,0.058,0.0,0.176,0.952,1.048,1.025,0.648,0.462,0.628,0.0,0.705,0.907,1.0,1.337,0.892,1.046,4.25,1.107,0.869,0.972,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.639,0.837,0.754,0.9,0.058,0.0,0.147,0.937,1.048,1.013,0.641,0.354,0.607,0.0,0.642,0.868,0.588,1.237,0.769,0.938,2.25,1.074,0.81,0.922,0.468,0.966,1.262,0.994,0.0,left
