s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.965,0.0,0.0,1.04,0.845,0.0,1.261,0.916,0.79,0.454,1.025,0.0,0.395,0.647,0.825,0.838,1.038,0.758,0.031,0.628,0.703,0.653,0.945,0.0,1.175,0.892,0.0,2.0,0.955,0.788,0.674,0.553,0.939,1.167,0.659,0.0,normal
0.909,0.0,0.0,0.909,0.805,0.0,0.739,0.877,0.594,0.463,0.825,0.608,0.211,0.441,0.698,0.762,0.937,0.773,0.292,0.622,0.672,0.663,0.901,0.0,1.075,0.769,0.0,0.25,1.037,0.745,0.745,0.404,0.892,1.0,0.591,0.0,normal
0.979,0.0,0.0,1.0,0.88,0.0,1.13,0.921,0.757,0.484,1.05,0.708,0.447,0.735,0.857,0.876,1.1,0.75,0.4,0.659,0.766,0.8,0.956,0.0,1.187,0.892,0.938,2.5,1.078,0.796,0.851,0.574,0.953,1.19,0.659,0.0,normal
0.923,0.645,0.0,0.929,0.845,0.0,0.783,0.885,0.605,0.49,0.85,0.725,0.211,0.471,0.714,0.79,0.95,0.367,0.292,0.64,0.695,0.716,0.912,0.0,1.087,0.769,0.815,0.5,1.041,0.745,0.511,0.404,0.899,1.024,0.659,0.0,normal
0.986,0.647,0.0,1.01,0.89,0.0,1.13,0.925,0.787,0.5,1.05,0.8,0.447,0.735,0.857,0.905,1.125,0.266,0.538,0.674,0.812,0.874,0.962,0.0,1.2,0.892,0.954,5.75,1.095,0.81,0.489,0.574,0.959,1.214,0.692,0.0,normal
0.979,0.617,0.0,1.01,0.89,0.0,1.13,0.938,0.804,0.503,1.125,0.833,0.447,0.735,0.873,0.876,1.062,0.242,0.338,0.662,0.766,0.821,0.956,0.0,1.212,0.908,0.969,2.75,1.091,0.81,0.461,0.574,0.959,1.19,0.716,0.0,normal
0.93,0.622,0.0,0.929,0.845,0.0,0.826,0.89,0.826,0.499,0.85,0.758,0.237,0.471,0.714,0.781,0.95,0.172,0.062,0.647,0.711,0.716,0.912,0.0,1.1,0.785,0.831,0.5,1.049,0.745,0.745,0.426,0.905,0.905,0.674,0.0,normal
0.986,0.629,0.0,1.01,0.895,0.0,1.13,0.925,0.887,0.496,1.05,0.775,0.447,0.706,0.841,0.867,1.05,0.625,0.092,0.653,0.719,0.747,0.907,0.0,1.1,0.785,0.831,0.5,1.058,0.766,0.809,0.426,0.905,0.952,0.695,0.0,normal
0.93,0.665,0.0,0.929,0.875,0.0,0.783,0.89,0.87,0.493,0.85,0.725,0.237,0.471,0.73,0.81,0.95,0.609,0.108,0.656,0.719,0.747,0.912,0.0,1.1,0.785,0.323,0.75,1.062,0.774,0.823,0.426,0.905,0.976,0.744,0.0,normal
0.93,0.657,0.0,0.929,0.875,0.0,0.826,0.894,0.779,0.49,0.875,0.742,0.263,0.471,0.73,0.81,0.95,0.328,0.169,0.662,0.719,0.758,0.912,0.0,1.1,0.785,0.077,0.75,1.066,0.774,0.83,0.426,0.912,1.0,0.762,0.0,normal
0.986,0.673,0.0,1.01,0.915,0.0,1.13,0.934,0.721,0.497,1.075,0.825,0.474,0.735,0.873,0.895,1.062,0.023,0.446,0.686,0.781,0.853,0.962,0.0,1.225,0.908,0.246,2.75,1.099,0.832,0.887,0.596,0.959,1.19,0.784,0.0,normal
0.986,0.0,0.0,1.01,0.915,0.0,1.13,0.925,0.779,0.496,1.075,0.825,0.447,0.765,0.889,0.895,1.062,0.0,0.446,0.683,0.781,0.842,0.956,0.0,1.212,0.908,0.108,2.75,1.099,0.839,0.887,0.638,0.993,1.238,0.784,0.0,normal
0.93,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.713,0.489,0.875,0.758,0.263,0.471,0.73,0.819,0.95,0.0,0.323,0.668,0.719,0.768,0.912,0.0,1.1,0.785,0.369,0.75,1.062,0.774,0.823,0.404,0.912,1.048,0.753,0.0,normal
0.986,0.0,0.0,1.02,0.915,0.0,1.13,0.93,0.865,0.496,1.1,0.833,0.474,0.735,0.873,0.905,1.075,0.0,0.431,0.689,0.781,0.842,0.962,0.0,1.2,0.908,0.862,2.75,1.095,0.839,0.872,0.596,0.959,1.238,0.78,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.826,0.894,0.843,0.491,0.875,0.758,0.263,0.471,0.73,0.81,0.962,0.0,0.323,0.668,0.719,0.768,0.912,0.0,1.112,0.785,0.785,0.75,1.066,0.781,0.844,0.511,0.939,1.167,0.771,0.0,normal
0.993,0.0,0.0,1.01,0.915,0.0,1.174,0.93,0.804,0.493,1.05,0.817,0.5,0.853,0.873,0.895,1.062,0.0,0.446,0.692,0.781,0.853,0.962,0.0,1.212,0.892,0.954,2.75,1.099,0.825,0.872,0.596,0.966,1.167,0.759,0.0,normal
0.986,0.0,0.0,1.01,0.915,0.0,1.174,0.93,0.798,0.501,1.1,0.817,0.447,0.706,0.841,0.895,1.062,0.0,0.431,0.689,0.773,0.842,0.956,0.0,1.225,0.908,0.969,3.0,1.103,0.832,0.879,0.596,0.966,1.167,0.762,0.0,normal
0.986,0.0,0.0,1.01,0.915,0.0,1.13,0.934,0.84,0.496,1.075,0.817,0.474,0.765,0.873,0.895,1.062,0.234,0.369,0.689,0.773,0.853,0.956,0.0,1.2,0.892,0.969,2.75,1.099,0.832,0.872,0.574,0.959,1.19,0.771,0.0,normal
1.007,0.0,0.0,1.04,0.925,0.0,1.13,0.93,0.669,0.494,1.1,0.842,0.474,0.706,0.857,0.914,1.087,0.227,0.338,0.689,0.781,0.842,0.962,0.0,1.275,1.031,1.031,3.0,1.099,0.832,1.007,0.681,0.973,1.238,0.774,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.84,0.49,0.875,0.75,0.263,0.471,0.73,0.819,0.95,0.164,0.2,0.668,0.719,0.768,0.918,0.0,1.1,0.785,0.862,0.75,1.066,0.774,0.816,0.426,0.905,1.0,0.747,0.0,normal
0.93,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.724,0.489,0.875,0.758,0.263,0.471,0.73,0.819,0.95,0.18,0.138,0.668,0.719,0.768,0.918,0.0,1.112,0.769,0.862,0.75,1.066,0.774,0.823,0.404,0.912,1.024,0.75,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.89,0.826,0.49,0.875,0.767,0.368,0.618,0.81,0.867,1.013,0.203,0.277,0.692,0.781,0.853,0.956,0.0,1.212,0.892,0.985,2.75,1.103,0.832,0.887,0.574,0.966,1.238,0.768,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.826,0.894,0.669,0.493,0.875,0.758,0.263,0.471,0.73,0.819,0.95,0.43,0.2,0.668,0.711,0.768,0.918,0.0,1.112,0.785,0.877,0.75,1.07,0.774,0.83,0.426,0.905,1.048,0.75,0.0,normal
0.986,0.0,0.0,1.01,0.92,0.0,1.174,0.93,0.691,0.494,1.075,0.817,0.474,0.706,0.857,0.895,1.05,0.0,0.354,0.692,0.773,0.853,0.956,0.0,1.212,0.892,1.0,2.75,1.103,0.832,0.887,0.596,0.959,1.238,0.771,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.682,0.49,0.875,0.758,0.263,0.5,0.73,0.819,0.95,0.203,0.262,0.671,0.711,0.779,0.912,0.0,1.112,0.785,0.877,0.75,1.07,0.781,0.83,0.426,0.905,1.048,0.747,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.657,0.487,0.875,0.75,0.263,0.471,0.73,0.819,0.95,0.148,0.262,0.671,0.703,0.768,0.912,0.0,1.112,0.785,0.862,0.75,1.07,0.781,0.844,0.426,0.905,1.071,0.732,0.0,normal
0.937,0.0,0.0,0.929,0.885,0.0,0.826,0.894,0.58,0.487,0.875,0.758,0.289,0.5,0.73,0.829,0.95,0.141,0.262,0.671,0.711,0.768,0.912,0.0,1.125,0.785,0.877,0.75,1.07,0.781,0.837,0.426,0.905,1.071,0.729,0.0,normal
0.993,0.0,0.0,1.03,0.915,0.0,0.826,0.894,0.566,0.483,0.875,0.775,0.263,0.5,0.73,0.819,0.95,0.125,0.262,0.671,0.703,0.768,0.901,0.0,1.112,0.785,0.892,0.75,1.07,0.781,0.83,0.426,0.905,1.071,0.735,0.0,normal
0.993,0.0,0.0,1.02,0.92,0.0,1.174,0.934,0.575,0.493,1.1,0.842,0.474,0.765,0.873,0.905,1.062,0.25,0.415,0.698,0.789,0.905,1.016,0.0,1.212,0.892,1.015,2.75,1.103,0.832,0.887,0.596,0.966,1.238,0.759,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.834,0.486,0.875,0.767,0.263,0.5,0.73,0.829,0.962,0.328,0.0,0.674,0.711,0.768,0.879,0.0,1.125,0.769,0.892,0.75,1.07,0.781,0.837,0.426,0.912,1.048,0.741,0.0,normal
0.993,0.0,0.0,1.02,0.92,0.0,0.826,0.899,0.738,0.49,0.875,0.742,0.263,0.471,0.73,0.829,0.962,0.18,0.077,0.671,0.719,0.779,0.896,0.0,1.125,0.785,0.892,0.75,1.07,0.781,0.83,0.426,0.912,1.048,0.741,0.0,normal
